@T, output
created_at,"Thu Dec 28 12:32:47 MST 2023"
date_format,yyyy-MM-dd
@H,time,precip,tmean,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-
,2007-01-01,0,-10.854,72.91667,1.397,0,0,8.783,1.85931,0,0,0,0,0,0,0,0,0,0.22276,0.22071,0.34508,0.63859,0.05192,386.99971,31.97649,16.86918,0,0,0,0,0,16.66457,0,0,0,0
,2007-01-02,0,-12.502,71.55,0.77,0,0,9.21,1.91999,0,0,0,0,0,0,0,0,0,0.18979,0.18819,0.34296,0.64222,0.04516,388.88483,27.61202,2.49576,0,0,0,0,0,18.92898,0,0,0,0.07541
,2007-01-03,0,-5.531,79.55,1.041,0,0,6.224,1.98451,0,0,0,0,0,0,0,0,0,0.26713,0.26495,0.34191,0.6457,0.04028,390.70032,24.53923,1.14831,0,0,0,0,0,19.91801,0,0,0,0.08565
,2007-01-04,0,-0.255,69.7,2.571,0,0,8.12,1.77777,0,0,0,0,0,0,0,0,0,0.49396,0.48955,0.33995,0.64622,0.03624,390.9349,22.04017,1.84856,0,0,0,0,0,21.59847,0,0,0,0.09013
,2007-01-05,0,-10.881,83.5,2.678,0,0,5.57,2.12893,0,0,0,0,0,0,0,0,0,0.19934,0.1969,0.33908,0.64697,0.03401,391.33336,20.62664,0.89615,0,0,0,0,0,22.3248,0,0,0,0.09773
,2007-01-06,0,-13.8275,67.05,2.659,0,0,7.76,2.11499,0,0,0,0,0,0,0,0,0,0.24471,0.24146,0.33855,0.64736,0.03274,391.53039,19.79569,0.46454,0,0,0,0,0,22.6154,0,0,0,0.10102
,2007-01-07,0.254,-10.1435,66.8,3.602,0,0.254,9.06,2.00977,0,0.254,0,0,0,0.254,1.29513,0.254,0,0.32941,0.32437,0.33802,0.64748,0.0317,391.57143,19.11749,0.38573,0,0,0,0,0,22.82371,0,0,0,0.10233
,2007-01-08,0.508,-3.875,61.05,2.613,0,0.508,9.13,1.82948,0,0.508,0,0,0,0.508,3.75112,0.762,0,0.49092,0.48154,0.33741,0.64723,0.03084,391.3977,18.55442,0.33034,0,0,0,0,0,22.9712,0,0,0,0.10327
