@T, output
created_at,"Thu Dec 28 12:32:47 MST 2023"
date_format,yyyy-MM-dd
@H,time,ID,precip,tmean,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,aTransp
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,mm,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-,mm
,2007-01-01,1,0,-10.854,72.91667,1.397,0,0,8.783,1.85931,0,0,0,0,0,0,0,0,0,0.22276,0.22276,0.50305,0.93918,0.10101,497.50207,58.04818,86.1164,0,0,0,0,0,83.69491,0,0,0,0,0
,2007-01-02,1,0,-12.502,71.55,0.77,0,0,9.21,1.92,0,0,0,0,0,0,0,0,0,0.18979,0.18979,0.49511,0.95592,0.07034,506.36928,40.42167,10.99101,0,0,0,0,0,92.58176,0,0,0,0.37871,0
,2007-01-03,1,0,-5.531,79.55,1.041,0,0,6.224,1.98451,0,0,0,0,0,0,0,0,0,0.26713,0.26713,0.49492,0.98877,0.03968,523.7717,22.80064,1.67692,0,0,0,0,0,93.41436,0,0,0,0.41892,0
,2007-01-04,1,0,-0.255,69.7,2.571,0,0,8.12,1.77777,0,0,0,0,0,0,0,0,0,0.49396,0.49396,0.47853,0.98784,0.00904,523.27774,5.19742,18.02861,0,0,0,0,0,110.55912,0,0,0,0.42269,0
,2007-01-05,1,0,-10.881,83.5,2.678,0,0,5.57,2.12893,0,0,0,0,0,0,0,0,0,0.19934,0.19934,0.47368,0.98746,0.00007,523.07841,0.03829,5.62029,0,0,0,0,0,115.20355,0,0,0,0.50027,0
,2007-01-06,1,0,-13.8275,67.05,2.659,0,0,7.76,2.11499,0,0,0,0,0,0,0,0,0,0.24471,0.24471,0.47342,0.987,4.33594E-6,522.8337,0.00249,0.51139,0,0,0,0,0,114.70031,0,0,0,0.52128,0
,2007-01-07,1,0.254,-10.1435,66.8,3.602,0,0.254,9.06,2.00977,0,0.254,0,0,0,0.254,1.29513,0.254,0,0.32941,0.32941,0.47312,0.98638,3.74213E-6,522.50429,0.00215,0.49369,0,0,0,0,0,114.15773,0,0,0,0.51901,0
,2007-01-08,1,0.508,-3.875,61.05,2.613,0,0.508,9.13,1.82948,0,0.508,0,0,0,0.508,3.75112,0.762,0,0.49092,0.49092,0.47268,0.98545,3.88032E-6,522.01337,0.00223,0.51718,0,0,0,0,0,113.6054,0,0,0,0.51655,0
,2007-01-09,1,0,-6.803,76.05,0.794,0,0,9.31,2.08484,0,0,0,0,0,0,3.75112,0.762,0,0.2636,0.2636,0.47244,0.98496,4.09851E-6,521.74977,0.00236,0.55284,0,0,0,0,0,113.07203,0,0,0,0.51405,0
,2007-01-10,1,0,-9.4535,77.95,1.056,0,0,8.59,2.21547,0,0,0,0,0,0,3.75112,0.762,0,0.23733,0.23733,0.47223,0.98451,4.21512E-6,521.51243,0.00242,0.57209,0,0,0,0,0,112.54302,0,0,0,0.51164,0
,2007-01-11,1,0,-9.5025,81.8,3.448,0,0,7.04,2.28051,0,0,0,0,0,0,3.75112,0.762,0,0.2394,0.2394,0.47201,0.98406,4.31919E-6,521.27303,0.00248,0.5894,0,0,0,0,0,112.01625,0,0,0,0.50924,0
,2007-01-12,1,0,-16.79,75,2.648,0,0,8.11,2.48123,0,0,0,0,0,0,3.75112,0.762,0,0.17863,0.17863,0.47185,0.98372,4.42353E-6,521.09439,0.00254,0.60686,0,0,0,0,0,111.49629,0,0,0,0.50686,0
,2007-01-13,1,0,-19.685,74.35,1.123,0,0,10.51,2.76518,0,0,0,0,0,0,3.75112,0.762,0,0.14982,0.14982,0.47171,0.98344,4.5011E-6,520.94457,0.00259,0.61992,0,0,0,0,0,110.98079,0,0,0,0.50451,0
,2007-01-14,1,0,-18.155,82.25,2.042,0,0,6.467,2.53103,0,0,0,0,0,0,3.75112,0.762,0,0.13829,0.13829,0.47159,0.98318,4.56588E-6,520.80628,0.00262,0.63087,0,0,0,0,0,110.46847,0,0,0,0.50218,0
,2007-01-15,1,0,-20.28,77.45,0.79,0,0,10.2,2.89688,0,0,0,0,0,0,3.75112,0.762,0,0.14301,0.14301,0.47146,0.98291,4.62547E-6,520.66327,0.00266,0.64098,0,0,0,0,0,109.95812,0,0,0,0.49986,0
,2007-01-16,1,0,-17.435,71.2,0.706,0,0,10.22,2.79848,0,0,0,0,0,0,3.75112,0.762,0,0.17911,0.17911,0.4713,0.98257,4.68686E-6,520.48416,0.00269,0.65144,0,0,0,0,0,109.44744,0,0,0,0.49755,0
,2007-01-17,1,0,-17.0645,74,0.903,0,0,10.27,2.86021,0,0,0,0,0,0,3.75112,0.762,0,0.18339,0.18339,0.47113,0.98222,4.76345E-6,520.30077,0.00274,0.66453,0,0,0,0,0,108.93873,0,0,0,0.49524,0
,2007-01-18,1,0,-11.6065,65.95,4.882,0,0,10.5,2.66458,0,0,0,0,0,0,3.75112,0.762,0,0.3435,0.3435,0.47082,0.98157,4.8416E-6,519.95727,0.00278,0.67796,0,0,0,0,0,108.42057,0,0,0,0.49294,0
,2007-01-19,1,0,-12.84,67.2,0.92,0,0,10.47,2.7846,0,0,0,0,0,0,3.75112,0.762,0,0.25448,0.25448,0.47059,0.98109,4.98697E-6,519.70279,0.00287,0.7031,0,0,0,0,0,107.91122,0,0,0,0.49059,0
,2007-01-20,1,0,-14.7655,76.5,0.773,0,0,6.697,2.69671,0,0,0,0,0,0,3.75112,0.762,0,0.19781,0.19781,0.47041,0.98072,0.00001,519.50498,0.00293,0.72179,0,0,0,0,0,107.40835,0,0,0,0.48829,0
,2007-01-21,1,0,-9.4685,82.75,5.174,0,0,6.259,2.65089,0,0,0,0,0,0,3.75112,0.762,0,0.24899,0.24899,0.47018,0.98025,0.00001,519.256,0.00298,0.73633,0,0,0,0,0,106.90399,0,0,0,0.48601,0
,2007-01-22,1,0.762,-14.97,87.35,0.449,0,0.762,9.65,3.1,0,0.762,0,0,0,0.762,7.70535,1.524,0,0.20307,0.20307,0.47,0.97987,0.00001,519.05293,0.00303,0.75462,0,0,0,0,0,106.40527,0,0,0,0.48373,0
,2007-01-23,1,0,-8.495,74.5,0.783,0,0,10.43,2.96618,0,0,0,0,0,0,7.70535,1.524,0,0.31509,0.31509,0.46972,0.97927,0.00001,518.73784,0.00308,0.76957,0,0,0,0,0,105.90055,0,0,0,0.48147,0
,2007-01-24,1,0,-6.9695,74,0.63,0,0,10.63,3.00734,0,0,0,0,0,0,7.70535,1.524,0,0.34358,0.34358,0.4694,0.97862,0.00001,518.39426,0.00316,0.79274,0,0,0,0,0,105.39595,0,0,0,0.47919,0
,2007-01-25,1,0,-8.295,79.3,0.463,0,0,10.78,3.16507,0,0,0,0,0,0,7.70535,1.524,0,0.31932,0.31932,0.46911,0.97802,0.00001,518.07494,0.00324,0.81806,0,0,0,0,0,104.8954,0,0,0,0.4769,0
,2007-01-26,1,0,-6.6475,73.55,2.11,0,0,10.47,3.12468,0,0,0,0,0,0,7.70535,1.524,0,0.39074,0.39074,0.46876,0.97728,0.00001,517.6842,0.00331,0.84164,0,0,0,0,0,104.39181,0,0,0,0.47464,0
,2007-01-27,1,0,-11.137,79,2.564,0,0,8.68,3.15452,0,0,0,0,0,0,7.70535,1.524,0,0.27007,0.27007,0.46852,0.97677,0.00001,517.41414,0.00341,0.8705,0,0,0,0,0,103.89937,0,0,0,0.47236,0
,2007-01-28,1,0,-13.5415,76.9,0.62,0,0,11.16,3.55219,0,0,0,0,0,0,7.70535,1.524,0,0.26488,0.26488,0.46828,0.97627,0.00001,517.14925,0.00347,0.89051,0,0,0,0,0,103.40955,0,0,0,0.47013,0
,2007-01-29,1,0,-12.349,71.7,0.853,0,0,11.93,3.63887,0,0,0,0,0,0,7.70535,1.524,0,0.30242,0.30242,0.468,0.9757,0.00001,516.84684,0.00353,0.91014,0,0,0,0,0,102.91915,0,0,0,0.46792,0
,2007-01-30,1,0,-12.339,73.4,1.301,0,0,8.78,3.33434,0,0,0,0,0,0,7.70535,1.524,0,0.28195,0.28195,0.46775,0.97517,0.00001,516.56489,0.0036,0.93255,0,0,0,0,0,102.43246,0,0,0,0.4657,0
,2007-01-31,1,0,-10.5465,72.15,2.436,0,0,10.38,3.54336,0,0,0,0,0,0,7.70535,1.524,0,0.3402,0.3402,0.46744,0.97453,0.00001,516.22469,0.00366,0.95349,0,0,0,0,0,101.94361,0,0,0,0.4635,0
,2007-02-01,1,0,-14.864,70.75,3.536,0,0,6.749,3.19614,0,0,0,0,0,0,7.70535,1.524,0,0.25374,0.25374,0.46721,0.97405,0.00001,515.97095,0.00374,0.97876,0,0,0,0,0,101.46337,0,0,0,0.46128,0
,2007-02-02,1,0,-17.264,55.8,1.898,0,0,12,4.05818,0,0,0,0,0,0,7.70535,1.524,0,0.28696,0.28696,0.46695,0.97351,0.00001,515.68399,0.0038,0.99765,0,0,0,0,0,100.98284,0,0,0,0.45911,0
,2007-02-03,1,0,-12.44,77.1,1.612,0,0,12.2,4.1041,0,0,0,0,0,0,7.70535,1.524,0,0.30702,0.30702,0.46667,0.97293,0.00001,515.37697,0.00386,1.01902,0,0,0,0,0,100.50294,0,0,0,0.45694,0
,2007-02-04,1,0,-8.655,84.2,0.645,0,0,10.84,3.91726,0,0,0,0,0,0,7.70535,1.524,0,0.36233,0.36233,0.46634,0.97224,0.00001,515.01464,0.00393,1.0419,0,0,0,0,0,100.02106,0,0,0,0.45476,0
,2007-02-05,1,0,-6.436,73.2,0.689,0,0,10.35,3.79384,0,0,0,0,0,0,7.70535,1.524,0,0.42913,0.42913,0.46596,0.97143,0.00001,514.58551,0.00401,1.06894,0,0,0,0,0,99.53632,0,0,0,0.45258,0
